                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1249,                 178.59,                  3.965,                      0,                      0,                      0,                      0,                 2.5541,                 168.78,                 1.5391,                  0.001,                  0.001,                  0.001
                      2,                 6.3075,                 144.68,                 4.1109,                      0,                      0,                      0,                      0,                 2.5438,                 168.78,                 1.5316,              0.0020987,              0.0020987,              0.0020987
                      3,                 6.6329,                 125.25,                  4.277,                      0,                      0,                      0,                      0,                 2.4939,                 168.81,                  1.502,               0.003196,               0.003196,               0.003196
                      4,                 6.7271,                 51.943,                 4.3597,                      0,                      0,                      0,                      0,                 2.2857,                 49.173,                 1.3846,               0.004292,               0.004292,               0.004292
                      5,                 6.0556,                 10.554,                 3.4324,                      0,                      0,                      0,                      0,                 1.9169,                 25.212,                 1.1847,              0.0053866,              0.0053866,              0.0053866
                      6,                 4.0648,                 2.5733,                 2.0143,                      0,                      0,                      0,                      0,                  1.587,                 1.1534,                 1.0138,              0.0064799,              0.0064799,              0.0064799
                      7,                 3.4872,                 2.2217,                 1.3837,                      0,                      0,                      0,                      0,                 1.4408,                 1.1489,                0.94944,              0.0075718,              0.0075718,              0.0075718
                      8,                 3.1452,                 1.7362,                 1.3058,                      0,                      0,                      0,                      0,                 1.3795,                 1.1514,                0.93406,              0.0086623,              0.0086623,              0.0086623
                      9,                 2.9052,                   1.57,                 1.2712,                0.05882,                0.00309,                0.03171,                0.01105,                 3.2667,                 2.4116,                 1.7722,              0.0097515,              0.0097515,              0.0097515
                     10,                 2.7454,                 1.3735,                 1.1703,                0.42822,                0.37017,                0.28399,                0.07397,                 2.9169,                  1.818,                 1.3251,              0.0099443,              0.0099443,              0.0099443
                     11,                 2.5765,                 1.3607,                 1.1581,                0.59167,                0.46213,                0.41622,                0.10707,                 2.6336,                 2.0581,                 1.1913,              0.0099381,              0.0099381,              0.0099381
                     12,                  2.572,                 1.2529,                 1.1198,                0.72711,                0.57264,                0.59306,                0.19013,                 2.3444,                 1.8955,                 1.1507,              0.0099319,              0.0099319,              0.0099319
                     13,                 2.4535,                 1.1923,                 1.0653,                0.72257,                 0.5626,                0.54035,                0.16204,                 2.3881,                 1.7718,                  1.113,              0.0099258,              0.0099258,              0.0099258
                     14,                  2.322,                 1.1825,                 1.0415,                0.70103,                0.67852,                0.60858,                0.20168,                 2.2446,                 1.5462,                 1.0882,              0.0099196,              0.0099196,              0.0099196
                     15,                 2.2625,                 1.1207,                 1.0426,                0.76086,                 0.7558,                0.68845,                0.26832,                 2.0561,                 1.6031,                 1.0336,              0.0099134,              0.0099134,              0.0099134
                     16,                  2.154,                 1.0725,                 1.0156,                0.83822,                0.73274,                0.76705,                0.28895,                 2.1418,                 1.3852,                 1.0463,              0.0099072,              0.0099072,              0.0099072
                     17,                 2.1319,                 1.0058,                 1.0078,                0.67904,                0.63988,                0.53689,                0.15092,                 2.6538,                 1.2663,                 1.1108,               0.009901,               0.009901,               0.009901
                     18,                 2.1114,                 1.0179,                  1.014,                0.88812,                0.73614,                0.78379,                0.28886,                   2.17,                 1.2126,                 1.0642,              0.0098948,              0.0098948,              0.0098948
                     19,                 2.0448,                0.98281,                0.99092,                0.90459,                0.82226,                0.86843,                0.34917,                 2.0324,                0.99727,                 1.0308,              0.0098886,              0.0098886,              0.0098886
                     20,                 2.0823,                0.99394,                0.97414,                0.84549,                0.84158,                0.85752,                 0.3597,                 1.9923,                  1.119,                 1.0206,              0.0098824,              0.0098824,              0.0098824
                     21,                  2.003,                0.94553,                0.97085,                0.76066,                0.81786,                0.82437,                   0.33,                 1.9437,                 1.7703,                0.99695,              0.0098763,              0.0098763,              0.0098763
                     22,                 2.0111,                0.92122,                0.95828,                0.89368,                 0.7898,                0.82703,                0.30756,                 2.1064,                 1.0936,                 1.0497,              0.0098701,              0.0098701,              0.0098701
                     23,                 1.9645,                0.94646,                0.98383,                0.89792,                0.85085,                0.86605,                0.35538,                 1.9852,                  1.133,                0.99217,              0.0098639,              0.0098639,              0.0098639
                     24,                 1.9897,                0.89156,                0.97912,                0.91684,                0.78903,                0.84931,                0.34071,                 1.9805,                 1.0096,                 1.0031,              0.0098577,              0.0098577,              0.0098577
                     25,                 1.9461,                0.89113,                0.95738,                0.92053,                0.82352,                0.88103,                0.37263,                 1.8764,                 0.9579,                0.97479,              0.0098515,              0.0098515,              0.0098515
                     26,                 1.9472,                0.90543,                0.96486,                0.94177,                0.84544,                0.90427,                 0.3992,                 1.8381,                 0.9172,                0.97888,              0.0098453,              0.0098453,              0.0098453
                     27,                 1.9092,                 0.8746,                 0.9717,                0.92562,                0.84634,                0.89314,                0.35026,                 1.9571,                 1.0482,                0.99999,              0.0098391,              0.0098391,              0.0098391
                     28,                 1.8492,                 0.8561,                0.94021,                0.83564,                0.83295,                0.84752,                0.31402,                 1.9559,                 1.0672,                0.98242,              0.0098329,              0.0098329,              0.0098329
                     29,                 1.8633,                0.85217,                0.94822,                0.77983,                0.78831,                0.74157,                0.21893,                  2.285,                 1.3068,                 1.0412,              0.0098268,              0.0098268,              0.0098268
                     30,                 1.9046,                 0.8595,                 0.9478,                 0.9237,                0.82226,                0.88071,                0.37411,                 1.9268,                0.96436,                0.98628,              0.0098206,              0.0098206,              0.0098206
                     31,                  1.857,                0.83667,                0.95331,                0.93939,                0.85935,                0.89746,                0.38511,                 1.8586,                0.94628,                0.96132,              0.0098144,              0.0098144,              0.0098144
                     32,                 1.8425,                0.81583,                0.94956,                0.94341,                0.84235,                0.88245,                 0.3746,                   1.94,                0.90869,                0.98818,              0.0098082,              0.0098082,              0.0098082
                     33,                 1.8932,                0.84288,                0.94771,                0.90116,                0.85956,                0.89089,                0.39274,                   1.87,                 0.8794,                0.98873,               0.009802,               0.009802,               0.009802
                     34,                 1.8341,                0.82458,                0.94925,                0.93252,                0.86553,                0.89726,                 0.4078,                 1.8572,                0.89807,                0.97246,              0.0097958,              0.0097958,              0.0097958
                     35,                 1.7958,                 0.8097,                0.94299,                0.86731,                0.80821,                0.81569,                0.26872,                 2.2513,                  1.327,                 1.0374,              0.0097896,              0.0097896,              0.0097896
                     36,                 1.7503,                0.80774,                0.93672,                0.93982,                0.86892,                0.91574,                0.42628,                 1.7695,                0.85347,                0.95062,              0.0097834,              0.0097834,              0.0097834
                     37,                 1.7692,                0.79039,                0.93696,                0.95281,                0.87382,                0.92069,                0.41313,                 1.8183,                0.80949,                0.95333,              0.0097773,              0.0097773,              0.0097773
                     38,                  1.752,                 0.7692,                0.94405,                0.90858,                0.80526,                0.85168,                0.36226,                 1.9644,                0.98537,                0.98596,              0.0097711,              0.0097711,              0.0097711
                     39,                  1.729,                 0.7677,                0.92719,                0.95333,                0.89876,                0.93149,                0.42461,                 1.7933,                0.82332,                0.96387,              0.0097649,              0.0097649,              0.0097649
                     40,                 1.7463,                0.78779,                0.94853,                 0.9411,                0.86862,                 0.9057,                0.42872,                 1.7439,                0.83965,                0.95373,              0.0097587,              0.0097587,              0.0097587
