                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    734,                0.43879,                 0.2339,                0.77684,                0.97383,                0.95827,                0.98143,                0.80506,                0.80243,                0.37272,                0.85516,              6.634e-05,              6.634e-05,              6.634e-05
                    734,                0.43879,                 0.2339,                0.77684,                0.97383,                0.95827,                0.98143,                0.80506,                0.80243,                0.37272,                0.85516,              6.634e-05,              6.634e-05,              6.634e-05
                    735,                0.41819,                0.22458,                 0.7729,                0.97405,                0.95743,                 0.9814,                0.80544,                0.80147,                0.37271,                0.85528,             6.5456e-05,             6.5456e-05,             6.5456e-05
                    736,                0.40113,                0.21658,                 0.7707,                 0.9741,                0.95918,                 0.9814,                0.80572,                0.80035,                0.37195,                0.85528,             6.4572e-05,             6.4572e-05,             6.4572e-05
                    737,                0.41235,                0.22534,                0.77339,                0.97404,                0.95981,                0.98137,                0.80571,                0.79985,                0.37077,                0.85544,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    738,                0.41791,                0.22104,                  0.777,                  0.974,                0.95981,                0.98135,                0.80432,                0.80047,                0.37091,                0.85523,             6.2805e-05,             6.2805e-05,             6.2805e-05
                    739,                0.42481,                0.22627,                0.77802,                0.97407,                0.95818,                0.98133,                0.80477,                0.79948,                0.37141,                 0.8552,             6.1922e-05,             6.1922e-05,             6.1922e-05
                    740,                0.42681,                0.22761,                0.77182,                0.97341,                0.95827,                0.98145,                 0.8059,                0.79808,                0.37187,                0.85516,             6.1038e-05,             6.1038e-05,             6.1038e-05
                    741,                 0.4061,                0.22007,                0.76956,                0.97332,                0.95846,                 0.9815,                0.80673,                0.79653,                0.37066,                0.85513,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    742,                0.39804,                0.21553,                0.77478,                0.97411,                0.95946,                0.98223,                0.80751,                0.79475,                0.37155,                0.85496,             5.9271e-05,             5.9271e-05,             5.9271e-05
                    743,                0.40053,                0.21346,                0.77632,                 0.9752,                0.95904,                0.98224,                0.80871,                0.79271,                0.37142,                0.85496,             5.8387e-05,             5.8387e-05,             5.8387e-05
                    744,                0.42872,                0.23193,                0.77811,                0.97564,                0.95934,                0.98229,                0.80795,                0.79385,                0.37218,                0.85516,             5.7504e-05,             5.7504e-05,             5.7504e-05
                    745,                0.40186,                0.21333,                0.77401,                0.97563,                0.95924,                0.98231,                 0.8078,                0.79346,                0.37183,                0.85508,              5.662e-05,              5.662e-05,              5.662e-05
                    746,                0.40473,                0.21949,                0.77394,                0.97564,                0.95941,                 0.9823,                0.80713,                0.79369,                0.37118,                0.85527,             5.5737e-05,             5.5737e-05,             5.5737e-05
                    747,                0.42228,                0.22362,                0.77736,                0.97531,                0.95904,                0.98224,                0.80712,                 0.7941,                0.37117,                0.85504,             5.4853e-05,             5.4853e-05,             5.4853e-05
                    748,                0.40479,                0.21978,                0.77244,                 0.9753,                0.95904,                0.98218,                0.80727,                0.79411,                0.37167,                 0.8551,             5.3969e-05,             5.3969e-05,             5.3969e-05
                    749,                0.40357,                0.22243,                0.77311,                 0.9756,                0.95792,                0.98213,                0.80706,                0.79535,                0.37206,                0.85511,             5.3086e-05,             5.3086e-05,             5.3086e-05
                    750,                 0.4216,                 0.2218,                0.77423,                0.97561,                0.95825,                 0.9821,                0.80785,                0.79658,                0.37255,                0.85526,             5.2202e-05,             5.2202e-05,             5.2202e-05
                    751,                0.43637,                0.23459,                0.77644,                0.97495,                0.95827,                0.98207,                0.80699,                0.79666,                 0.3714,                0.85529,             5.1319e-05,             5.1319e-05,             5.1319e-05
                    752,                0.41604,                0.22431,                0.77386,                0.97562,                0.95879,                0.98206,                 0.8063,                0.79592,                0.37105,                0.85537,             5.0435e-05,             5.0435e-05,             5.0435e-05
                    753,                0.41792,                0.22425,                0.77325,                0.97519,                0.95827,                0.98202,                0.80543,                0.79501,                0.37206,                0.85519,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    754,                0.41755,                 0.2193,                0.77209,                0.97502,                0.95827,                0.98242,                0.80524,                0.79619,                0.37136,                0.85545,             4.8668e-05,             4.8668e-05,             4.8668e-05
                    755,                0.40722,                0.21816,                 0.7744,                0.97423,                 0.9575,                 0.9815,                0.80485,                0.79572,                0.37259,                0.85554,             4.7784e-05,             4.7784e-05,             4.7784e-05
                    756,                0.40103,                0.21806,                0.77463,                 0.9741,                0.95672,                0.98189,                0.80567,                0.79524,                0.37194,                0.85555,             4.6901e-05,             4.6901e-05,             4.6901e-05
                    757,                0.40933,                0.21882,                0.77689,                0.97388,                0.95672,                0.98189,                0.80637,                0.79406,                0.37266,                0.85548,             4.6017e-05,             4.6017e-05,             4.6017e-05
                    758,                0.42428,                0.22986,                0.77808,                0.97326,                0.95643,                0.98155,                 0.8062,                 0.7945,                0.37177,                0.85513,             4.5134e-05,             4.5134e-05,             4.5134e-05
                    759,                0.41464,                0.22066,                0.77232,                0.97326,                0.95642,                0.98157,                0.80609,                 0.7938,                0.37265,                0.85511,              4.425e-05,              4.425e-05,              4.425e-05
                    760,                0.44574,                0.23457,                0.77775,                0.97326,                0.95627,                0.98161,                0.80648,                 0.7948,                 0.3718,                0.85499,             4.3367e-05,             4.3367e-05,             4.3367e-05
                    761,                0.42426,                0.22253,                0.77723,                0.97396,                0.95827,                0.98209,                0.80625,                0.79461,                0.37136,                0.85488,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    762,                0.42221,                0.21626,                 0.7748,                0.97259,                0.95989,                0.98241,                0.80593,                0.79514,                0.37189,                0.85428,             4.1599e-05,             4.1599e-05,             4.1599e-05
