                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    697,                0.44014,                0.22488,                0.78606,                0.98539,                0.95054,                0.98069,                0.76689,                0.90638,                0.38969,                0.86183,              0.0056935,              0.0056935,              0.0056935
                    698,                0.47294,                0.24296,                0.78353,                0.97869,                0.95839,                0.98241,                0.77006,                0.90102,                0.38936,                0.86074,              0.0056873,              0.0056873,              0.0056873
                    699,                0.47537,                0.24638,                0.78214,                0.98081,                0.95904,                0.98161,                0.77101,                0.89659,                0.39032,                0.85993,              0.0056811,              0.0056811,              0.0056811
                    700,                0.48069,                0.23977,                0.77709,                0.98251,                0.95507,                0.97989,                0.77027,                0.89416,                0.39114,                0.85886,              0.0056749,              0.0056749,              0.0056749
                    701,                0.47542,                0.24486,                0.78178,                0.98388,                0.95672,                0.98111,                0.76788,                0.89599,                0.39125,                0.85886,              0.0056688,              0.0056688,              0.0056688
                    702,                0.47488,                0.24412,                0.78687,                0.98722,                0.95491,                0.98098,                0.76557,                 0.8946,                0.39075,                0.85889,              0.0056626,              0.0056626,              0.0056626
                    703,                0.49003,                0.24583,                0.78007,                0.98413,                0.95823,                0.98065,                0.76628,                0.89155,                0.38996,                 0.8581,              0.0056564,              0.0056564,              0.0056564
                    704,                0.48293,                0.24331,                0.77808,                0.98335,                0.95836,                0.98131,                0.76786,                0.88912,                0.38799,                0.85756,              0.0056502,              0.0056502,              0.0056502
                    705,                 0.5064,                 0.2521,                0.78407,                 0.9849,                0.95744,                0.98133,                0.76795,                0.88964,                 0.3875,                  0.857,               0.005644,               0.005644,               0.005644
                    706,                0.47782,                0.24908,                0.77918,                0.98415,                0.95957,                0.98189,                0.76931,                0.88897,                0.38816,                0.85673,              0.0056378,              0.0056378,              0.0056378
