               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12395,            0.027264,                   0,                   0,                   0,                   0,                   0,             0.10807,            0.022537,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.13023,            0.027521,                   0,           9.009e-05,            0.008982,          4.8887e-05,          8.2684e-06,              0.1025,            0.023188,                   0,            0.090099,           0.0010986,           0.0010986
                   2,             0.12281,            0.026635,                   0,           9.009e-05,            0.008982,          5.3488e-05,           7.077e-06,            0.097187,            0.023502,                   0,            0.084696,           0.0016958,           0.0016958
                   3,              0.1081,            0.026702,                   0,          0.00012012,            0.011976,          6.2201e-05,          2.0058e-05,            0.099817,            0.022304,                   0,            0.079291,           0.0022915,           0.0022915
                   4,             0.10784,            0.025669,                   0,          0.00096096,            0.095808,          0.00068247,           0.0001617,            0.088946,            0.023733,                   0,            0.073886,           0.0028856,           0.0028856
                   5,             0.10723,            0.027431,                   0,            0.003964,             0.39521,           0.0035586,          0.00073723,            0.085323,            0.023437,                   0,            0.068478,           0.0034783,           0.0034783
                   6,             0.10219,            0.027947,                   0,            0.005045,             0.50299,           0.0093394,           0.0019505,            0.085271,            0.022233,                   0,             0.06307,           0.0040696,           0.0040696
                   7,            0.088146,            0.026857,                   0,             0.12761,              0.2006,            0.071086,            0.016276,            0.078918,            0.023369,                   0,            0.057659,           0.0046593,           0.0046593
                   8,            0.085735,            0.026876,                   0,             0.24086,             0.23353,               0.122,            0.025609,            0.074002,            0.024076,                   0,            0.052248,           0.0052475,           0.0052475
                   9,            0.091149,            0.023846,                   0,            0.060065,              0.2006,            0.026943,           0.0059159,            0.084704,            0.017961,                   0,            0.046834,           0.0058343,           0.0058343
                  10,             0.08706,             0.02393,                   0,             0.32358,             0.41018,             0.26939,            0.069992,            0.067704,            0.022189,                   0,             0.04142,           0.0064196,           0.0064196
                  11,            0.073492,            0.020927,                   0,             0.21269,             0.46108,             0.17009,            0.039862,            0.070031,            0.020565,                   0,            0.036003,           0.0070034,           0.0070034
                  12,            0.078281,            0.021997,                   0,             0.13708,             0.42216,             0.10894,             0.02554,            0.066742,            0.019489,                   0,            0.030586,           0.0075857,           0.0075857
                  13,            0.072099,             0.01851,                   0,             0.19675,             0.45808,             0.16234,             0.04149,            0.072847,              0.0166,                   0,            0.025166,           0.0081665,           0.0081665
                  14,            0.089133,            0.017963,                   0,             0.12733,             0.20958,            0.089718,            0.025309,            0.072432,            0.019545,                   0,            0.019746,           0.0087458,           0.0087458
                  15,             0.07584,            0.023017,                   0,             0.45075,             0.55988,             0.43014,             0.10849,            0.076422,            0.015239,                   0,            0.014324,           0.0093237,           0.0093237
                  16,            0.075194,            0.020072,                   0,             0.34503,              0.5047,             0.28205,            0.075418,            0.065476,            0.018525,                   0,            0.009802,            0.009802,            0.009802
                  17,            0.068744,            0.021192,                   0,             0.39765,             0.51785,             0.34102,            0.087692,            0.063161,            0.021759,                   0,            0.009802,            0.009802,            0.009802
                  18,            0.070449,            0.019263,                   0,             0.35813,                 0.5,             0.34085,            0.079068,            0.063707,            0.023538,                   0,           0.0097896,           0.0097896,           0.0097896
                  19,            0.068087,            0.019446,                   0,             0.14205,             0.47904,              0.1352,            0.033344,            0.068898,            0.026958,                   0,           0.0097773,           0.0097773,           0.0097773
                  20,            0.069604,            0.017899,                   0,             0.43785,             0.71856,              0.4931,              0.1545,            0.054762,            0.023966,                   0,           0.0097649,           0.0097649,           0.0097649
                  21,            0.059566,            0.018546,                   0,             0.30679,             0.71856,             0.43267,             0.13417,            0.063245,            0.023576,                   0,           0.0097525,           0.0097525,           0.0097525
