               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029734,            0.012793,                   0,             0.96342,             0.91013,             0.93554,              0.6234,            0.021346,            0.010629,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.031555,            0.011983,                   0,             0.95565,             0.91145,             0.94406,             0.61527,            0.019896,            0.010672,                   0,            0.082898,           0.0018976,           0.0018976
                   2,            0.029836,            0.010834,                   0,             0.95886,             0.90929,             0.95063,             0.62695,            0.020208,           0.0097897,                   0,            0.073893,           0.0028928,           0.0028928
                   3,            0.030272,            0.010401,                   0,             0.95804,             0.92441,             0.95565,             0.63756,            0.020411,           0.0095259,                   0,            0.064886,           0.0038855,           0.0038855
                   4,            0.032384,            0.010711,                   0,             0.94499,             0.92751,             0.95833,             0.63416,             0.02093,           0.0095284,                   0,            0.055876,           0.0048757,           0.0048757
                   5,            0.029378,           0.0096974,                   0,             0.96425,             0.93209,             0.96475,             0.60445,            0.022201,           0.0092635,                   0,            0.046863,           0.0058635,           0.0058635
                   6,              0.0309,            0.010592,                   0,             0.97106,             0.93952,             0.96599,             0.63704,            0.023319,           0.0089453,                   0,            0.037849,           0.0068488,           0.0068488
                   7,            0.030478,            0.010219,                   0,               0.973,             0.93402,             0.96128,             0.63899,            0.021932,           0.0085679,                   0,            0.028832,           0.0078316,           0.0078316
                   8,             0.02916,            0.010283,                   0,             0.98411,             0.93644,             0.96377,             0.66153,            0.021907,           0.0085218,                   0,            0.019812,           0.0088119,           0.0088119
                   9,            0.028621,            0.010391,                   0,             0.97274,             0.92473,             0.95184,             0.63761,            0.022384,           0.0091286,                   0,             0.01079,           0.0097897,           0.0097897
                  10,            0.029298,            0.010092,                   0,             0.95889,             0.92225,             0.94948,             0.55386,            0.027056,           0.0098877,                   0,           0.0098763,           0.0098763,           0.0098763
                  11,            0.027812,            0.010268,                   0,             0.96821,             0.92106,             0.95319,             0.62539,            0.021927,           0.0089992,                   0,           0.0098763,           0.0098763,           0.0098763
                  12,            0.027488,            0.010426,                   0,              0.9818,             0.93222,             0.97099,             0.59986,            0.023107,           0.0088791,                   0,           0.0098639,           0.0098639,           0.0098639
                  13,            0.028594,           0.0099499,                   0,             0.97592,             0.90497,             0.95856,             0.58166,            0.024141,           0.0090912,                   0,           0.0098515,           0.0098515,           0.0098515
                  14,            0.028605,             0.01019,                   0,             0.96633,             0.92979,             0.96444,             0.62866,            0.021934,           0.0088777,                   0,           0.0098391,           0.0098391,           0.0098391
