               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023545,           0.0072154,                   0,             0.98299,             0.96909,             0.98179,             0.69559,            0.028954,            0.011097,                   0,              0.0946,              0.0006,              0.0006
                   1,            0.036663,           0.0080105,                   0,             0.98479,             0.97141,             0.98243,             0.73876,            0.024219,            0.010442,                   0,            0.088298,           0.0012984,           0.0012984
                   2,            0.039731,           0.0080077,                   0,             0.96204,             0.95958,             0.97567,             0.67527,             0.02897,            0.011141,                   0,            0.081995,           0.0019951,           0.0019951
                   3,            0.035127,           0.0084263,                   0,             0.98351,             0.97141,             0.97995,             0.65966,            0.033851,            0.011063,                   0,             0.07569,             0.00269,             0.00269
                   4,            0.035254,            0.008103,                   0,             0.98196,             0.96763,             0.97985,             0.67511,               0.025,            0.010636,                   0,            0.069383,           0.0033832,           0.0033832
                   5,            0.029847,           0.0081999,                   0,             0.98742,             0.97052,             0.98214,             0.68647,            0.029477,            0.010693,                   0,            0.063075,           0.0040746,           0.0040746
                   6,            0.028548,           0.0083158,                   0,             0.98615,             0.97295,             0.98133,             0.74263,            0.027279,           0.0099831,                   0,            0.056764,           0.0047644,           0.0047644
                   7,            0.029046,           0.0075122,                   0,             0.98586,             0.97005,             0.98043,             0.72525,             0.02576,            0.010569,                   0,            0.050452,           0.0054524,           0.0054524
                   8,            0.027198,           0.0083042,                   0,             0.98906,             0.96677,             0.97883,             0.71307,            0.026613,            0.010311,                   0,            0.044139,           0.0061386,           0.0061386
                   9,            0.026562,           0.0084541,                   0,             0.98043,             0.96807,             0.97977,             0.61855,            0.025571,            0.011428,                   0,            0.037823,           0.0068232,           0.0068232
                  10,            0.025207,           0.0085554,                   0,              0.9897,               0.965,             0.98176,             0.72033,            0.023869,            0.010294,                   0,            0.031506,            0.007506,            0.007506
                  11,            0.025532,           0.0089797,                   0,              0.9851,              0.9707,             0.98015,              0.6728,            0.024459,            0.010649,                   0,            0.025187,            0.008187,            0.008187
                  12,            0.024997,           0.0086922,                   0,             0.98532,             0.96754,             0.97892,             0.69198,            0.022669,            0.010387,                   0,            0.018866,           0.0088663,           0.0088663
                  13,            0.021406,           0.0085747,                   0,              0.9848,             0.96059,             0.97716,             0.62663,            0.025367,            0.011439,                   0,            0.012544,            0.009544,            0.009544
                  14,            0.024949,           0.0090553,                   0,             0.98269,             0.96754,             0.97779,             0.67648,            0.022257,            0.010917,                   0,           0.0098268,           0.0098268,           0.0098268
                  15,            0.023714,           0.0091061,                   0,             0.97978,             0.95904,             0.97289,             0.61326,            0.026708,            0.011634,                   0,           0.0098268,           0.0098268,           0.0098268
