               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029554,           0.0079107,                   0,             0.98181,               0.966,             0.97964,              0.7257,            0.018021,            0.011108,                   0,               0.091,               0.001,               0.001
                   1,            0.029449,           0.0079259,                   0,             0.98277,             0.96445,              0.9795,             0.71433,            0.018226,             0.01099,                   0,            0.081097,           0.0020974,           0.0020974
                   2,            0.025496,           0.0080086,                   0,             0.98106,             0.96291,             0.97771,             0.70663,            0.022648,            0.010965,                   0,            0.071192,           0.0031921,           0.0031921
                   3,            0.027191,           0.0086778,                   0,              0.9851,             0.96059,             0.97932,             0.69231,             0.01936,            0.011019,                   0,            0.061284,            0.004284,            0.004284
                   4,            0.024935,            0.009025,                   0,             0.98108,             0.96176,             0.97322,             0.62415,            0.024039,            0.011843,                   0,            0.051373,           0.0053733,           0.0053733
                   5,            0.025537,           0.0098007,                   0,             0.98572,              0.9599,             0.97896,             0.70244,            0.019807,            0.011157,                   0,             0.04146,           0.0064598,           0.0064598
                   6,            0.024883,           0.0093307,                   0,             0.97107,             0.95987,             0.97111,             0.60149,            0.022088,             0.01154,                   0,            0.031544,           0.0075436,           0.0075436
                   7,            0.024222,             0.01042,                   0,              0.9818,             0.95883,             0.97694,             0.67975,            0.020058,            0.011322,                   0,            0.021625,           0.0086246,           0.0086246
                   8,            0.026269,                0.01,                   0,             0.97828,             0.95286,             0.97079,             0.64528,             0.02187,            0.011558,                   0,            0.011703,            0.009703,            0.009703
                   9,            0.024437,            0.010058,                   0,             0.97388,             0.95054,             0.96733,             0.55209,            0.023247,            0.013612,                   0,           0.0098886,           0.0098886,           0.0098886
                  10,            0.024541,            0.011126,                   0,             0.98003,              0.9483,             0.96936,             0.57178,            0.023276,            0.012409,                   0,           0.0098886,           0.0098886,           0.0098886
                  11,            0.025565,            0.010429,                   0,             0.97588,              0.9575,             0.97061,             0.61214,            0.021232,            0.011957,                   0,           0.0098763,           0.0098763,           0.0098763
                  12,            0.027424,            0.010887,                   0,             0.97323,             0.94668,             0.96466,             0.60709,              0.0214,             0.01219,                   0,           0.0098639,           0.0098639,           0.0098639
                  13,            0.025697,            0.010615,                   0,             0.97461,             0.95054,             0.96722,             0.61955,            0.021257,            0.011973,                   0,           0.0098515,           0.0098515,           0.0098515
                  14,            0.027306,             0.01053,                   0,             0.97146,             0.94691,             0.96763,             0.59733,            0.021905,            0.012673,                   0,           0.0098391,           0.0098391,           0.0098391
