               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032214,           0.0081602,                   0,             0.98129,             0.96445,             0.97895,             0.71645,            0.023082,              0.0113,                   0,               0.091,               0.001,               0.001
                   1,            0.028493,           0.0078305,                   0,             0.98385,               0.966,             0.98121,             0.72585,            0.020531,            0.010845,                   0,            0.081097,           0.0020974,           0.0020974
                   2,            0.025823,           0.0076998,                   0,             0.97951,             0.96677,             0.98087,             0.71081,             0.02084,            0.010829,                   0,            0.071192,           0.0031921,           0.0031921
                   3,            0.026818,           0.0080332,                   0,             0.97922,             0.97141,             0.98232,             0.71315,            0.020429,            0.011004,                   0,            0.061284,            0.004284,            0.004284
                   4,            0.025516,            0.007886,                   0,             0.98165,             0.96909,             0.98308,             0.72212,            0.020251,            0.010942,                   0,            0.051373,           0.0053733,           0.0053733
                   5,            0.022454,           0.0086276,                   0,             0.98513,             0.97281,             0.98413,             0.71495,            0.019275,            0.010578,                   0,             0.04146,           0.0064598,           0.0064598
                   6,            0.024832,           0.0082569,                   0,             0.98239,             0.96909,             0.98081,             0.67398,            0.021885,            0.011721,                   0,            0.031544,           0.0075436,           0.0075436
                   7,            0.023192,           0.0088587,                   0,             0.98893,             0.96677,             0.98062,              0.6942,            0.020783,            0.011251,                   0,            0.021625,           0.0086246,           0.0086246
                   8,            0.024494,           0.0088804,                   0,             0.98123,             0.96948,             0.97929,              0.6773,            0.019818,            0.011483,                   0,            0.011703,            0.009703,            0.009703
                   9,             0.02208,           0.0086695,                   0,             0.98514,             0.95672,             0.97457,             0.63445,            0.020729,             0.01209,                   0,           0.0098886,           0.0098886,           0.0098886
                  10,            0.020678,            0.009272,                   0,             0.98353,             0.96884,             0.97621,             0.65259,            0.020628,            0.011746,                   0,           0.0098886,           0.0098886,           0.0098886
                  11,            0.022715,           0.0090928,                   0,             0.98502,             0.96754,             0.97718,             0.63023,            0.020371,            0.011646,                   0,           0.0098763,           0.0098763,           0.0098763
